剁,朵刀,朵刂
剃,弟刀,弟刂
剄,巠刀,巠刂
剅,豆刀,豆刂
剆,艮刀,艮刂
則,貝刀,貝刂
剈,肙刀,肙刂
剉,坐刀,坐刂
削,肖刀,肖刂
剋,克刀,克刂
剌,束刀,束刂
前,丷一肉刀,丷一月刂
剎,乂丶木刀,乂丶木刂
剏,并刃
剒,昔刀,昔刂
剓,禾勹丿刀
剔,易刀,易刂
剕,非刀,非刂
剖,咅刀,咅刂,立口刀,立口刂
剗,戔刀,戔刂
剘,其刀,其刂
剙,并刅
剚,事刀,事刂
剛,岡刀,岡刂
剜,宛刀,宛刂
剝,彔刀,彔刂
剞,奇刀,奇刂
剟,叕刀,叕刂
剠,京刀,京刂
剡,炎刀,炎刂
剢,豖刀,豖刂
剣,人一口人刀,人一口人刂
剤,斉刀,斉刂
剦,奄刀,奄刂
剨,砉刀,砉刂
剩,乘刀,乘刂
剪,前刀
剫,度刀,度刂
剬,耑刀,耑刂
剭,屋刀,屋刂
剮,咼刀,咼刂
副,畐刀,畐刂
剰,乗刀,乗刂
剱,人一口人刄
割,害刀,害刂
剳,荅刀,荅刂
剴,豈刀,豈刂
創,倉刀,倉刂
剶,彖刀,彖刂
剸,專刀,專刂
剹,翏刀,翏刂
剺,未攵厂刀
剻,崩刀,崩刂
剼,參刀,參刂
剽,票刀,票刂
剾,區刀,區刂
剿,巢刀,巢刂
劀,矞刀,矞刂
劁,焦刀,焦刂
劂,厥刀,厥刂
劃,畫刀,畫刂
劄,答刀,答刂
劅,蜀刀,蜀刂
劆,廉刀,廉刂
劇,豦刀,豦刂
劈,辟刀
劉,卯金刀,卯金刂
劊,會刀,會刂
劋,喿刀,喿刂
劌,歲刀,歲刂
劍,僉刀,僉刂
劎,僉刀
劏,當刀,當刂
劐,蒦刀,蒦刂
劑,齊刀,齊刂
劒,僉刃
劓,鼻刀,鼻刂
劔,僉刄
劕,質刀,質刂
劖,毚刀,毚刂
劗,贊刀,贊刂
劘,靡刀,靡刂
劙,蠡刀,蠡刂
劚,屬刀,屬刂
力,丿㇆
劜,力乚
功,工力
加,力口
劣,少力
劤,斤力
劥,亢力
劦,力力力
劧,手力
助,且力
努,奴力
劫,去力
劬,句力
劭,召力
劮,失力
劯,石力
劰,白力
労,小冖力
劵,丷夫力,𠔉力
劶,后力
劷,羊力
劸,圭力
効,交力
劺,牟力
劻,匡力
劼,吉力
劽,列力
劾,亥力
勀,克力
勁,巠力
勂,告力
勃,孛力
勄,每力
勅,束力
勆,良力
勇,甬力
勈,甬力
勉,免力
勊,克力
勌,卷力
勍,京力
勎,坴力
勏,咅力
勐,孟力
勑,來力
勒,革力
勓,皆力
勔,面力
動,重力
勖,冒力
勗,日助
勘,甚力
務,矛务,矛夂力
勛,員力
勜,翁力
勝,肉劵,月劵,月丷夫力
勞,𤇾力,𤇾力
募,莫力
勠,翏力
勡,票力
勢,埶力,執力
勣,責力
勤,堇力
勥,強力
勦,巢力
勧,丿二隹力
勨,象力
勩,貰力
勪,喬力
勫,番力
勬,絭力
勭,童力
勮,豦力
勯,亶力
勰,劦思
勱,萬力
勲,動火,動灬
勳,熏力
勴,慮力
勵,厲力
勶,徹力
勷,襄力
勸,雚力
勹,丿㇆
勺,勹丶
勻,勹二
勼,勹九
勽,勹人
勾,勹厶
勿,勹丿丿
匃,勹亾
匄,勹亡
包,勹己
匆,勿丶
匈,勹凶
匉,勹平
匊,勹米
匋,勹缶
匌,勹合
匍,勹甫
匎,勹奄
匏,夸包
匐,勹畐
匑,勹躬
匒,勹荅
匓,勹艮殳
匔,勹身吕
匕,乚丿
化,人匕,亻匕
北,丬匕
匘,匕巛囟,匕𡿺
匙,是匕
匛,匚久
匜,匚也
匝,匚巾
匞,匚工
匟,匚亢
匠,匚斤
匡,匚王
匢,匚勿
匣,匚甲
匤,匚玉
匥,匚弁
匧,匚夾
匨,匚壯
匩,匚山王,匡山
匪,匚非
匫,匚曶
匬,匚俞
匭,匚軌
匯,匚淮
匰,匚單
匱,匚貴
匲,匚大品
匳,匚僉
匴,匚算
匵,匚賣
匶,匚舊
匷,匚瞿
匹,匸儿,匚儿
匼,匸合
匽,匸妟
匾,匸扁,匚扁
匿,匸若,匚若
區,匸品,匚品
十,一丨
卂,乁十
千,丿十
卄,十丨,一丨丨
卅,川一
卆,九十
升,千丨,丿十丿
午,丿干
卉,十廾
半,丷一十,八一十
卋,十廿
卌,丿丨丨丨丨一,川丨一
卑,丶田丿十
卒,亠人十
卓,卜日十
協,十劦
南,十冂丫二
単,小甲一,小日十,小曰十
卙,甚十
博,十尃,十甫寸
卛,絲言十,糸言糸十,䜌十
卜,丨丶
卝,一丨丨一
卞,丶下
卟,口卜
占,卜口
卡,上卜,上下
卣,卜囙
卥,卜囪
卦,圭卜
卨,卜咼
卩,丨㇆
卪,卩丶
卬,匚卩
卭,工卩
卮,厂一卩,厂一㔾
卯,卬丿,匸丿卩
印,卬一,匸一卩
危,厃卩,刀厂卩,厃㔾,刀厂㔾
卲,召卩
即,艮卩
卵,卯丶丶,匸丿丶卪
卶,多卩
卷,丷夫卩,𠔉㔾
卸,午止卩
卹,血卩
卺,丞卩,丞㔾
卻,谷卩
卼,兀危
卽,白匕卩
卾,咢卩
卿,卯艮卩,匸丿即
厀,桼卩
厃,刀厂
厄,厂卩,厂㔾
厇,厂乇
厈,厂干
厊,厂牙
厎,厂氐
厏,厂乍
厒,厂缶
厓,厂圭
厔,厂至
厖,厂尨
厗,厂辛
厙,厂車
厚,厂日子
厛,厂听
厜,厂垂
厝,厂昔
厞,厂非
原,厂白小,厂泉
厡,厂泉
厤,厂秝
厥,厂欮
厧,厂真
厪,厂堇
厫,厂敖
厬,厂晷
厭,厂猒
厯,厂林乚丶丶
厰,厂敞
厱,厂僉
厲,厂萬
厳,小厂敢
厴,厭甲,厂猒甲
厵,原原原
厶,𠃊丶
厷,一丿厶
厸,厶厶
厹,九厶
厺,大厶
去,土厶
厽,厶厶厶
厾,乁去
叀,一由厶
參,厽人彡,厶厶厶人彡
叄,厽人三,厶厶厶人三
叅,厽人心,厽人小丶
叉,又丶
及,乃乀
友,一丿又
反,厂又
収,丩又
叏,乛支
叐,丿友
叒,又又又
叓,十口又,支口
叔,上小又,尗又
叕,又又又又
取,耳又
受,爪冖又,爫冖又
叚,尸二又
叛,半反
叜,灾又
叝,去及
叞,尸示又
叟,臼丨又
叡,睿又
叢,丵取,业丷二丨取,业羊取
口,丨乛一,冂一
古,十口
句,勹口
另,口力
叧,口刀
叨,口刀
叩,口卩
只,口八
叫,口丩
召,刀口
叭,口八
叮,口丁
可,一口亅,丁口
台,厶口
叱,口匕
史,口乂
右,一丿口
叴,九口
叵,匚口
司,㇆一口
叺,口入
叻,口力
叼,口刁
叿,口工
吀,口千
吁,口于
吂,亡口
吃,口乞
各,夂口
吅,口口
吆,口幺
吇,口子
合,人一口
吉,士口
吋,口寸
同,冂一口
名,夕口
后,厂一口
吏,一口乂,一口丿乀
吐,口土
向,丶冂口
吒,口宅
吓,口下
吔,口也
吖,口丫
吘,口午
吙,口火
吚,口尹
君,尹口
吜,口丑
吝,文口
吞,天口
吟,口今
吠,口犬
吡,口比
吢,心口
吣,口心
吤,口介
吥,口不
否,不口
吧,口巴
吩,口分
吪,口化
含,今口
吭,口亢
吮,口允
吰,口厷
吱,口支
吲,口引
吳,口㇉大
吵,口少
吶,口內
吷,口夬
吸,口及
吹,口欠
吺,口殳
吻,口勿
吼,口孔
吽,口牛
吾,五口
吿,牛口
呀,口牙
呁,口勻
呂,口丶口
呃,口厄
呄,乃古
呅,口文
呆,口木
呇,水口
呈,口王
呉,口㇉一八
告,牛口
呋,口夫
呌,口斗
呍,口云
呎,口尺
呏,口升
呑,夭口
呔,口太
呝,口戹
呞,口司
呟,口玄
呠,口本
呡,口民
呢,口尼
呤,口令
呥,口冉
呦,口幼
呧,口氐
周,冂土口
呩,口示
呪,口兄
呫,口占
呬,口四
呭,口世
呮,口只
呯,口平
呰,此口
呱,口瓜
呲,口此
味,口未
呴,口句
呵,口可
呶,口奴
呷,口甲
呸,口丕,口不一
呹,口失
呺,口号
呻,口申
呼,口乎
命,人一叩
呾,口旦
呿,口去
咀,口且
咂,口匝
咃,口他
